"Step","phase1_top3 - validation_step_timing in s","phase1_top3 - validation_step_timing in s__MIN","phase1_top3 - validation_step_timing in s__MAX"
"9","0.16510558128356934","0.16510558128356934","0.16510558128356934"
"30","0.0623629093170166","0.0623629093170166","0.0623629093170166"
"57","0.04056262969970703","0.04056262969970703","0.04056262969970703"
"67","0.06423425674438477","0.06423425674438477","0.06423425674438477"
"68","0.06089067459106445","0.06089067459106445","0.06089067459106445"
"81","0.05186796188354492","0.05186796188354492","0.05186796188354492"
"86","0.05372762680053711","0.05372762680053711","0.05372762680053711"
"111","0.038301944732666016","0.038301944732666016","0.038301944732666016"
"127","0.05719757080078125","0.05719757080078125","0.05719757080078125"
"157","0.035103797912597656","0.035103797912597656","0.035103797912597656"
"159","0.049961090087890625","0.049961090087890625","0.049961090087890625"
"162","0.04985809326171875","0.04985809326171875","0.04985809326171875"
"163","0.060973167419433594","0.060973167419433594","0.060973167419433594"
"171","0.03999519348144531","0.03999519348144531","0.03999519348144531"
"172","0.06374859809875488","0.06374859809875488","0.06374859809875488"
"175","0.05636262893676758","0.05636262893676758","0.05636262893676758"
"184","0.05307316780090332","0.05307316780090332","0.05307316780090332"
"193","0.03211665153503418","0.03211665153503418","0.03211665153503418"
"201","0.033796072006225586","0.033796072006225586","0.033796072006225586"
"233","0.05947995185852051","0.05947995185852051","0.05947995185852051"
"258","0.061000823974609375","0.061000823974609375","0.061000823974609375"
"267","0.039275169372558594","0.039275169372558594","0.039275169372558594"
"274","0.03403615951538086","0.03403615951538086","0.03403615951538086"
"286","0.036581993103027344","0.036581993103027344","0.036581993103027344"
"289","0.05030059814453125","0.05030059814453125","0.05030059814453125"
"300","0.05622291564941406","0.05622291564941406","0.05622291564941406"
"303","0.03800034523010254","0.03800034523010254","0.03800034523010254"
"309","0.0565035343170166","0.0565035343170166","0.0565035343170166"
"313","0.053145647048950195","0.053145647048950195","0.053145647048950195"
"317","0.0725088119506836","0.0725088119506836","0.0725088119506836"
"326","0.04264521598815918","0.04264521598815918","0.04264521598815918"
"345","0.03708982467651367","0.03708982467651367","0.03708982467651367"
"361","0.036344289779663086","0.036344289779663086","0.036344289779663086"
"376","0.03496837615966797","0.03496837615966797","0.03496837615966797"
"380","0.03570842742919922","0.03570842742919922","0.03570842742919922"
"390","0.0587310791015625","0.0587310791015625","0.0587310791015625"
"397","0.03672361373901367","0.03672361373901367","0.03672361373901367"
"405","0.04911351203918457","0.04911351203918457","0.04911351203918457"
"413","0.03831171989440918","0.03831171989440918","0.03831171989440918"
"422","0.03523564338684082","0.03523564338684082","0.03523564338684082"
"433","0.05675935745239258","0.05675935745239258","0.05675935745239258"
"438","0.03813481330871582","0.03813481330871582","0.03813481330871582"
"443","0.038076162338256836","0.038076162338256836","0.038076162338256836"
"463","0.041863203048706055","0.041863203048706055","0.041863203048706055"
"473","0.03438425064086914","0.03438425064086914","0.03438425064086914"
"480","0.03676271438598633","0.03676271438598633","0.03676271438598633"
"485","0.035359859466552734","0.035359859466552734","0.035359859466552734"
"523","0.04320836067199707","0.04320836067199707","0.04320836067199707"
"527","0.05665874481201172","0.05665874481201172","0.05665874481201172"
"542","0.0579524040222168","0.0579524040222168","0.0579524040222168"
"557","0.03337883949279785","0.03337883949279785","0.03337883949279785"
"576","0.03330349922180176","0.03330349922180176","0.03330349922180176"
"583","0.031178712844848633","0.031178712844848633","0.031178712844848633"
"586","0.03580927848815918","0.03580927848815918","0.03580927848815918"
"593","0.053093671798706055","0.053093671798706055","0.053093671798706055"
"594","0.05416440963745117","0.05416440963745117","0.05416440963745117"
"597","0.05653953552246094","0.05653953552246094","0.05653953552246094"
"621","0.04377293586730957","0.04377293586730957","0.04377293586730957"
"654","0.03362917900085449","0.03362917900085449","0.03362917900085449"
"660","0.0497746467590332","0.0497746467590332","0.0497746467590332"
"671","0.03366494178771973","0.03366494178771973","0.03366494178771973"
"684","0.05685019493103027","0.05685019493103027","0.05685019493103027"
"694","0.056424856185913086","0.056424856185913086","0.056424856185913086"
"711","0.05468893051147461","0.05468893051147461","0.05468893051147461"
"760","0.036150217056274414","0.036150217056274414","0.036150217056274414"
"763","0.03477668762207031","0.03477668762207031","0.03477668762207031"
"771","0.05255722999572754","0.05255722999572754","0.05255722999572754"
"797","0.05616569519042969","0.05616569519042969","0.05616569519042969"
"810","0.03121161460876465","0.03121161460876465","0.03121161460876465"
"815","0.05548429489135742","0.05548429489135742","0.05548429489135742"
"821","0.031139373779296875","0.031139373779296875","0.031139373779296875"
"848","0.03205418586730957","0.03205418586730957","0.03205418586730957"
"890","0.04957270622253418","0.04957270622253418","0.04957270622253418"
"891","0.037938594818115234","0.037938594818115234","0.037938594818115234"
"893","0.031766653060913086","0.031766653060913086","0.031766653060913086"
"894","0.05768442153930664","0.05768442153930664","0.05768442153930664"
"922","0.039689064025878906","0.039689064025878906","0.039689064025878906"
"930","0.034316301345825195","0.034316301345825195","0.034316301345825195"
"947","0.04335784912109375","0.04335784912109375","0.04335784912109375"
"956","0.05833005905151367","0.05833005905151367","0.05833005905151367"
"970","0.054724931716918945","0.054724931716918945","0.054724931716918945"
"971","0.03585076332092285","0.03585076332092285","0.03585076332092285"
"973","0.03645801544189453","0.03645801544189453","0.03645801544189453"
"980","0.041814327239990234","0.041814327239990234","0.041814327239990234"
"984","0.03285527229309082","0.03285527229309082","0.03285527229309082"
"999","0.05878472328186035","0.05878472328186035","0.05878472328186035"
"1005","0.0513303279876709","0.0513303279876709","0.0513303279876709"
"1006","0.03359484672546387","0.03359484672546387","0.03359484672546387"
"1019","0.030719995498657227","0.030719995498657227","0.030719995498657227"
"1029","0.057822227478027344","0.057822227478027344","0.057822227478027344"
"1034","0.05871725082397461","0.05871725082397461","0.05871725082397461"
"1058","0.03768491744995117","0.03768491744995117","0.03768491744995117"
"1075","0.05819225311279297","0.05819225311279297","0.05819225311279297"
"1083","0.03425312042236328","0.03425312042236328","0.03425312042236328"
"1093","0.05200338363647461","0.05200338363647461","0.05200338363647461"
"1112","0.03338479995727539","0.03338479995727539","0.03338479995727539"
"1121","0.09573554992675781","0.09573554992675781","0.09573554992675781"
"1137","0.036685943603515625","0.036685943603515625","0.036685943603515625"
"1139","0.06235098838806152","0.06235098838806152","0.06235098838806152"
"1145","0.03558993339538574","0.03558993339538574","0.03558993339538574"
"1172","0.03635287284851074","0.03635287284851074","0.03635287284851074"
"1173","0.05278491973876953","0.05278491973876953","0.05278491973876953"
"1176","0.03664445877075195","0.03664445877075195","0.03664445877075195"
"1191","0.051830291748046875","0.051830291748046875","0.051830291748046875"
"1220","0.032471418380737305","0.032471418380737305","0.032471418380737305"
"1225","0.05625176429748535","0.05625176429748535","0.05625176429748535"
"1233","0.0524599552154541","0.0524599552154541","0.0524599552154541"
"1241","0.05726218223571777","0.05726218223571777","0.05726218223571777"
"1247","0.055103302001953125","0.055103302001953125","0.055103302001953125"
"1261","0.05711221694946289","0.05711221694946289","0.05711221694946289"
"1277","0.06075477600097656","0.06075477600097656","0.06075477600097656"
"1280","0.034441232681274414","0.034441232681274414","0.034441232681274414"
"1282","0.03425002098083496","0.03425002098083496","0.03425002098083496"
"1310","0.029657602310180664","0.029657602310180664","0.029657602310180664"
"1334","0.05289101600646973","0.05289101600646973","0.05289101600646973"
"1359","0.029947280883789062","0.029947280883789062","0.029947280883789062"
"1360","0.0477750301361084","0.0477750301361084","0.0477750301361084"
"1371","0.03610086441040039","0.03610086441040039","0.03610086441040039"
"1375","0.03813934326171875","0.03813934326171875","0.03813934326171875"
