"Step","phase1_top3 - val_wer_ctc","phase1_top3 - val_wer_ctc__MIN","phase1_top3 - val_wer_ctc__MAX"
"3505","1.9131568670272827","1.9131568670272827","1.9131568670272827"
"7011","0.9999191164970398","0.9999191164970398","0.9999191164970398"
"10517","1","1","1"
"14032","1","1","1"
"17538","1","1","1"
"21044","1","1","1"
"24550","1","1","1"
"28065","1","1","1"
"31571","1","1","1"
"35077","1","1","1"
"38583","1","1","1"
"42098","1","1","1"
"45604","0.9990624785423279","0.9990624785423279","0.9990624785423279"
"49110","0.9888685941696167","0.9888685941696167","0.9888685941696167"
"52616","0.975053071975708","0.975053071975708","0.975053071975708"
"56131","0.9551649689674377","0.9551649689674377","0.9551649689674377"
"59637","0.907660186290741","0.907660186290741","0.907660186290741"
"63143","0.8583564162254333","0.8583564162254333","0.8583564162254333"
"66649","0.7949135303497314","0.7949135303497314","0.7949135303497314"
"70164","0.7450815439224243","0.7450815439224243","0.7450815439224243"
"73670","0.6804631352424622","0.6804631352424622","0.6804631352424622"
"77176","0.6344146132469177","0.6344146132469177","0.6344146132469177"
"80682","0.6108810901641846","0.6108810901641846","0.6108810901641846"
"84197","0.5844969153404236","0.5844969153404236","0.5844969153404236"
"87703","0.5689491033554077","0.5689491033554077","0.5689491033554077"
"91209","0.5391098856925964","0.5391098856925964","0.5391098856925964"
"94715","0.5430503487586975","0.5430503487586975","0.5430503487586975"
"98230","0.5232717394828796","0.5232717394828796","0.5232717394828796"
"101736","0.5155144929885864","0.5155144929885864","0.5155144929885864"
"105242","0.5145198702812195","0.5145198702812195","0.5145198702812195"
"108748","0.5058774352073669","0.5058774352073669","0.5058774352073669"
"112263","0.49931469559669495","0.49931469559669495","0.49931469559669495"
