"Step","phase1_top3 - val_wer","phase1_top3 - val_wer__MIN","phase1_top3 - val_wer__MAX"
"3505","1","1","1"
"7011","1","1","1"
"10517","1","1","1"
"14032","1","1","1"
"17538","1","1","1"
"21044","1","1","1"
"24550","1","1","1"
"28065","1","1","1"
"31571","1","1","1"
"35077","1","1","1"
"38583","0.9994670152664185","0.9994670152664185","0.9994670152664185"
"42098","0.9967067241668701","0.9967067241668701","0.9967067241668701"
"45604","0.9888305068016052","0.9888305068016052","0.9888305068016052"
"49110","0.9570067524909973","0.9570067524909973","0.9570067524909973"
"52616","0.9061039686203003","0.9061039686203003","0.9061039686203003"
"56131","0.8464968800544739","0.8464968800544739","0.8464968800544739"
"59637","0.7777333855628967","0.7777333855628967","0.7777333855628967"
"63143","0.654573917388916","0.654573917388916","0.654573917388916"
"66649","0.5823600888252258","0.5823600888252258","0.5823600888252258"
"70164","0.530391275882721","0.530391275882721","0.530391275882721"
"73670","0.4812493324279785","0.4812493324279785","0.4812493324279785"
"77176","0.4490876793861389","0.4490876793861389","0.4490876793861389"
"80682","0.4295898675918579","0.4295898675918579","0.4295898675918579"
"84197","0.41042518615722656","0.41042518615722656","0.41042518615722656"
"87703","0.3651285469532013","0.3651285469532013","0.3651285469532013"
"91209","0.37256693840026855","0.37256693840026855","0.37256693840026855"
"94715","0.3571571409702301","0.3571571409702301","0.3571571409702301"
"98230","0.34923332929611206","0.34923332929611206","0.34923332929611206"
"101736","0.3378925025463104","0.3378925025463104","0.3378925025463104"
"105242","0.3459876477718353","0.3459876477718353","0.3459876477718353"
"108748","0.3262709081172943","0.3262709081172943","0.3262709081172943"
"112263","0.323382169008255","0.323382169008255","0.323382169008255"
