"Step","phase1_top3 - training_batch_wer_ctc","phase1_top3 - training_batch_wer_ctc__MIN","phase1_top3 - training_batch_wer_ctc__MAX"
"8","2.6666667461395264","2.6666667461395264","2.6666667461395264"
"3514","1","1","1"
"7020","1","1","1"
"10526","1","1","1"
"10535","1","1","1"
"14041","1","1","1"
"17547","1","1","1"
"21053","1","1","1"
"24559","1","1","1"
"24568","1","1","1"
"28074","1","1","1"
"31580","1","1","1"
"35086","1","1","1"
"38592","1","1","1"
"38601","1","1","1"
"42107","1","1","1"
"45613","1","1","1"
"49119","1","1","1"
"52625","0.9848484992980957","0.9848484992980957","0.9848484992980957"
"52634","1","1","1"
"56140","0.9649122953414917","0.9649122953414917","0.9649122953414917"
"59646","0.9230769276618958","0.9230769276618958","0.9230769276618958"
"63152","1","1","1"
"66658","0.9285714030265808","0.9285714030265808","0.9285714030265808"
"66667","0.8444444537162781","0.8444444537162781","0.8444444537162781"
"70173","0.8472222089767456","0.8472222089767456","0.8472222089767456"
"73679","0.8571428656578064","0.8571428656578064","0.8571428656578064"
"77185","0.800000011920929","0.800000011920929","0.800000011920929"
"80691","0.9230769276618958","0.9230769276618958","0.9230769276618958"
"80700","0.9354838728904724","0.9354838728904724","0.9354838728904724"
"84206","0.8571428656578064","0.8571428656578064","0.8571428656578064"
"87712","0.8888888955116272","0.8888888955116272","0.8888888955116272"
"91218","0.698113203048706","0.698113203048706","0.698113203048706"
"94724","0.8571428656578064","0.8571428656578064","0.8571428656578064"
"94733","0.7424242496490479","0.7424242496490479","0.7424242496490479"
"98239","0.8399999737739563","0.8399999737739563","0.8399999737739563"
"101745","0.7068965435028076","0.7068965435028076","0.7068965435028076"
"105251","0.8367347121238708","0.8367347121238708","0.8367347121238708"
"108757","0.804347813129425","0.804347813129425","0.804347813129425"
"108766","0.8253968358039856","0.8253968358039856","0.8253968358039856"
