"Step","phase1_top3 - trainer/global_step","phase1_top3 - trainer/global_step__MIN","phase1_top3 - trainer/global_step__MAX"
"0","49","49","49"
"21","12","12","12"
"48","39","39","39"
"58","49","49","49"
"59","50","50","50"
"72","63","63","63"
"77","68","68","68"
"102","93","93","93"
"118","109","109","109"
"148","139","139","139"
"150","141","141","141"
"153","144","144","144"
"154","145","145","145"
"162","153","153","153"
"163","154","154","154"
"166","157","157","157"
"175","166","166","166"
"184","175","175","175"
"192","183","183","183"
"224","215","215","215"
"249","240","240","240"
"258","249","249","249"
"265","256","256","256"
"277","268","268","268"
"280","271","271","271"
"291","282","282","282"
"294","285","285","285"
"300","291","291","291"
"304","295","295","295"
"308","299","299","299"
"317","308","308","308"
"336","327","327","327"
"352","343","343","343"
"367","358","358","358"
"371","362","362","362"
"381","372","372","372"
"388","379","379","379"
"396","387","387","387"
"404","395","395","395"
"413","404","404","404"
"424","415","415","415"
"429","420","420","420"
"434","425","425","425"
"454","445","445","445"
"464","455","455","455"
"471","462","462","462"
"476","467","467","467"
"514","505","505","505"
"518","509","509","509"
"533","524","524","524"
"548","539","539","539"
"567","558","558","558"
"574","565","565","565"
"577","568","568","568"
"584","575","575","575"
"585","576","576","576"
"588","579","579","579"
"612","603","603","603"
"645","636","636","636"
"651","642","642","642"
"662","653","653","653"
"675","666","666","666"
"685","676","676","676"
"702","693","693","693"
"751","742","742","742"
"754","745","745","745"
"762","753","753","753"
"788","779","779","779"
"801","792","792","792"
"806","797","797","797"
"812","803","803","803"
"839","830","830","830"
"881","872","872","872"
"882","873","873","873"
"884","875","875","875"
"885","876","876","876"
"913","904","904","904"
"921","912","912","912"
"947","938","938","938"
"961","952","952","952"
"962","953","953","953"
"964","955","955","955"
"971","962","962","962"
"975","966","966","966"
"990","981","981","981"
"996","987","987","987"
"997","988","988","988"
"1010","1001","1001","1001"
"1020","1011","1011","1011"
"1025","1016","1016","1016"
"1049","1040","1040","1040"
"1066","1057","1057","1057"
"1074","1065","1065","1065"
"1084","1075","1075","1075"
"1103","1094","1094","1094"
"1112","1103","1103","1103"
"1128","1119","1119","1119"
"1130","1121","1121","1121"
"1136","1127","1127","1127"
"1163","1154","1154","1154"
"1164","1155","1155","1155"
"1167","1158","1158","1158"
"1182","1173","1173","1173"
"1211","1202","1202","1202"
"1216","1207","1207","1207"
"1224","1215","1215","1215"
"1232","1223","1223","1223"
"1238","1229","1229","1229"
"1252","1243","1243","1243"
"1268","1259","1259","1259"
"1271","1262","1262","1262"
"1273","1264","1264","1264"
"1301","1292","1292","1292"
"1325","1316","1316","1316"
"1350","1341","1341","1341"
"1351","1342","1342","1342"
"1362","1353","1353","1353"
"1366","1357","1357","1357"
"1373","1364","1364","1364"
"1403","1394","1394","1394"
"1408","1399","1399","1399"
"1424","1415","1415","1415"
"1428","1419","1419","1419"
"1446","1437","1437","1437"
"1447","1438","1438","1438"
"1448","1439","1439","1439"
"1464","1455","1455","1455"
"1465","1456","1456","1456"
"1470","1461","1461","1461"
"1472","1463","1463","1463"
"1486","1477","1477","1477"
"1487","1478","1478","1478"
"1501","1492","1492","1492"
"1507","1498","1498","1498"
"1511","1502","1502","1502"
"1531","1522","1522","1522"
"1540","1531","1531","1531"
"1551","1542","1542","1542"
"1574","1565","1565","1565"
"1576","1567","1567","1567"
"1589","1580","1580","1580"
"1598","1589","1589","1589"
"1600","1591","1591","1591"
"1613","1604","1604","1604"
"1650","1641","1641","1641"
"1665","1656","1656","1656"
"1686","1677","1677","1677"
"1702","1693","1693","1693"
"1709","1700","1700","1700"
"1716","1707","1707","1707"
"1718","1709","1709","1709"
"1732","1723","1723","1723"
"1741","1732","1732","1732"
