"Relative Time (Process)","phase2_upper_half - system/gpu.0.memoryClock","phase2_upper_half - system/gpu.0.memoryClock__MIN","phase2_upper_half - system/gpu.0.memoryClock__MAX","phase1_top3 - system/gpu.0.memoryClock","phase1_top3 - system/gpu.0.memoryClock__MIN","phase1_top3 - system/gpu.0.memoryClock__MAX"
"15.395807511","","","","10251","10251","10251"
"15.472764031","","","","10251","10251","10251"
"15.536025081","","","","10251","10251","10251"
"15.53884216","","","","10251","10251","10251"
"15.55552068","","","","10251","10251","10251"
"15.603765446","","","","10251","10251","10251"
"15.664223071","10251","10251","10251","","",""
"15.673335058","","","","405","405","405"
"15.931510822","","","","10251","10251","10251"
"16.140695464","","","","10251","10251","10251"
"30.397963575","","","","405","405","405"
"30.473307519","","","","405","405","405"
"30.537640529","","","","405","405","405"
"30.539779901","","","","405","405","405"
"30.557292054","","","","405","405","405"
"30.605189853","","","","405","405","405"
"30.667200349","405","405","405","","",""
"30.674007179","","","","405","405","405"
"30.931263295","","","","10251","10251","10251"
"31.142785358","","","","405","405","405"
"45.39826631","","","","405","405","405"
"45.473636232","","","","405","405","405"
"45.537277678","","","","405","405","405"
"45.540204753","","","","405","405","405"
"45.558199601","","","","405","405","405"
"45.605795279","","","","405","405","405"
"45.666530683","405","405","405","","",""
"45.673080995","","","","405","405","405"
"45.931674802","","","","10251","10251","10251"
"46.142130196","","","","405","405","405"
"60.398641748","","","","405","405","405"
"60.472417163","","","","405","405","405"
"60.537627299","","","","405","405","405"
"60.539195988","","","","405","405","405"
"60.605566748","","","","405","405","405"
"60.666813437","405","405","405","","",""
"60.673604506","","","","405","405","405"
"60.9319205","","","","10251","10251","10251"
"61.141604315","","","","405","405","405"
"75.399776485","","","","405","405","405"
"75.474935216","","","","405","405","405"
"75.537113157","","","","405","405","405"
"75.539388205","","","","405","405","405"
"75.606348649","","","","405","405","405"
"75.66720152","405","405","405","","",""
"75.673012128","","","","405","405","405"
"75.931975878","","","","10251","10251","10251"
"90.398540112","","","","405","405","405"
"90.538567636","","","","405","405","405"
"90.540627807","","","","405","405","405"
"90.666500155","405","405","405","","",""
"90.6726414","","","","405","405","405"
"90.931758494","","","","10251","10251","10251"
"105.538810921","","","","405","405","405"
"105.667177003","405","405","405","","",""
"105.673155953","","","","405","405","405"
"105.932182081","","","","10251","10251","10251"
"120.540416303","","","","405","405","405"
"120.666576137","405","405","405","","",""
"120.673086807","","","","405","405","405"
"120.93166741900001","","","","10251","10251","10251"
"135.539971153","","","","405","405","405"
"135.668615389","405","405","405","","",""
"135.672905466","","","","405","405","405"
"135.932165552","","","","10251","10251","10251"
"150.539604989","","","","405","405","405"
"150.667068497","405","405","405","","",""
"150.673653771","","","","405","405","405"
"150.931402309","","","","10251","10251","10251"
"165.539594428","","","","405","405","405"
"165.666381942","405","405","405","","",""
"165.931535406","","","","10251","10251","10251"
"180.540235435","","","","405","405","405"
"180.66650134100001","405","405","405","","",""
"180.931258321","","","","10251","10251","10251"
"195.667451386","405","405","405","","",""
"195.932378104","","","","10251","10251","10251"
"210.667608751","405","405","405","","",""
"210.931262091","","","","10251","10251","10251"
"225.666543395","405","405","405","","",""
"225.931843262","","","","10251","10251","10251"
"240.667581183","405","405","405","","",""
"240.931261491","","","","10251","10251","10251"
"255.667623429","405","405","405","","",""
"255.931734255","","","","10251","10251","10251"
"270.666822675","405","405","405","","",""
"270.931780888","","","","10251","10251","10251"
"285.666966878","405","405","405","","",""
"285.932446694","","","","10251","10251","10251"
"300.667344994","405","405","405","","",""
"300.931922632","","","","10251","10251","10251"
"315.666696236","405","405","405","","",""
"315.931653277","","","","10251","10251","10251"
"330.666434946","405","405","405","","",""
"330.931984075","","","","10251","10251","10251"
"345.667006484","405","405","405","","",""
"345.931717615","","","","10251","10251","10251"
"360.667274855","405","405","405","","",""
"360.931908497","","","","10251","10251","10251"
"375.666647245","405","405","405","","",""
"375.930972767","","","","10251","10251","10251"
"390.667071398","405","405","405","","",""
"390.932147024","","","","10251","10251","10251"
"405.667497647","405","405","405","","",""
"405.931167175","","","","10251","10251","10251"
"420.667790789","405","405","405","","",""
"420.932296126","","","","10251","10251","10251"
"435.667281691","405","405","405","","",""
"435.931244938","","","","10251","10251","10251"
"450.667129904","405","405","405","","",""
"450.932124857","","","","10251","10251","10251"
"465.667234608","405","405","405","","",""
"465.931611175","","","","10251","10251","10251"
"480.667089248","405","405","405","","",""
"480.931235563","","","","10251","10251","10251"
"495.665881955","405","405","405","","",""
"495.932599777","","","","10251","10251","10251"
"510.667485733","405","405","405","","",""
"510.93190669","","","","10251","10251","10251"
"525.667159959","405","405","405","","",""
"525.93148871","","","","10251","10251","10251"
"540.667317252","405","405","405","","",""
"540.932087834","","","","10251","10251","10251"
"555.667152476","405","405","405","","",""
"555.932299411","","","","10251","10251","10251"
"570.667638888","405","405","405","","",""
"570.932089714","","","","10251","10251","10251"
"585.66688136","405","405","405","","",""
"585.932010525","","","","10251","10251","10251"
"600.667482939","405","405","405","","",""
"600.932388774","","","","10251","10251","10251"
"615.666584168","405","405","405","","",""
"615.933107369","","","","10251","10251","10251"
"630.666520296","405","405","405","","",""
"630.932322294","","","","10251","10251","10251"
"645.665797096","405","405","405","","",""
"645.931432912","","","","10251","10251","10251"
"660.66562112","405","405","405","","",""
"660.932797816","","","","10251","10251","10251"
"675.667186016","405","405","405","","",""
"675.931303043","","","","10251","10251","10251"
"690.667111867","405","405","405","","",""
"690.932168091","","","","10251","10251","10251"
"705.666227515","405","405","405","","",""
"705.931881293","","","","10251","10251","10251"
"720.666225199","405","405","405","","",""
"720.931863576","","","","10251","10251","10251"
"735.666722481","405","405","405","","",""
"735.931723215","","","","10251","10251","10251"
"750.667191081","405","405","405","","",""
"750.931680004","","","","10251","10251","10251"
"765.667197975","405","405","405","","",""
"765.931745152","","","","10251","10251","10251"
"780.667293473","405","405","405","","",""
"780.931532461","","","","10251","10251","10251"
"795.667527268","405","405","405","","",""
"795.931560628","","","","10251","10251","10251"
"810.665421694","405","405","405","","",""
"810.931455521","","","","10251","10251","10251"
"825.666369216","405","405","405","","",""
"825.931789853","","","","10251","10251","10251"
"840.6669102","405","405","405","","",""
"840.931188057","","","","10251","10251","10251"
"855.667777094","405","405","405","","",""
"855.931350183","","","","10251","10251","10251"
"870.666664396","405","405","405","","",""
"870.931953717","","","","10251","10251","10251"
"885.667032593","405","405","405","","",""
"885.931880696","","","","10251","10251","10251"
"900.666848399","405","405","405","","",""
"900.931493352","","","","10251","10251","10251"
"915.66648174","405","405","405","","",""
"915.931610099","","","","10251","10251","10251"
"930.667253514","405","405","405","","",""
"930.931060058","","","","10251","10251","10251"
"945.667091203","405","405","405","","",""
"945.932317999","","","","10251","10251","10251"
"960.66690298","405","405","405","","",""
"960.931533773","","","","10251","10251","10251"
"975.665967275","405","405","405","","",""
"975.931110342","","","","10251","10251","10251"
"990.667147225","405","405","405","","",""
"990.931922047","","","","10251","10251","10251"
"1005.665998284","405","405","405","","",""
"1005.932451246","","","","10251","10251","10251"
"1020.666691819","405","405","405","","",""
"1020.932320445","","","","10251","10251","10251"
"1035.666315567","405","405","405","","",""
"1035.931826521","","","","10251","10251","10251"
"1050.66729255","405","405","405","","",""
"1050.931038286","","","","10251","10251","10251"
"1065.666648517","405","405","405","","",""
"1065.931967238","","","","10251","10251","10251"
"1080.667764395","405","405","405","","",""
"1080.931839267","","","","10251","10251","10251"
"1095.666113562","405","405","405","","",""
"1095.931642688","","","","10251","10251","10251"
"1110.667282445","405","405","405","","",""
"1110.931667788","","","","10251","10251","10251"
"1125.667405111","405","405","405","","",""
"1125.931702361","","","","10251","10251","10251"
"1140.666026362","405","405","405","","",""
"1140.931633676","","","","10251","10251","10251"
"1155.667187312","405","405","405","","",""
"1155.932037949","","","","10251","10251","10251"
"1170.667225484","405","405","405","","",""
"1170.932010387","","","","10251","10251","10251"
"1185.665755261","405","405","405","","",""
"1185.9317887","","","","10251","10251","10251"
"1200.666696471","405","405","405","","",""
"1200.931569028","","","","10251","10251","10251"
"1215.666520361","405","405","405","","",""
"1215.931543553","","","","10251","10251","10251"
"1230.667375359","405","405","405","","",""
"1230.931732019","","","","10251","10251","10251"
"1245.667171732","405","405","405","","",""
"1245.931456536","","","","10251","10251","10251"
"1260.666402562","405","405","405","","",""
"1260.931303064","","","","10251","10251","10251"
"1275.667346169","405","405","405","","",""
"1275.931843835","","","","10251","10251","10251"
"1290.6666186","405","405","405","","",""
"1290.931342458","","","","10251","10251","10251"
"1305.66721226","405","405","405","","",""
"1305.93201707","","","","10251","10251","10251"
"1320.66549648","405","405","405","","",""
"1320.931718695","","","","10251","10251","10251"
"1335.666690484","405","405","405","","",""
"1335.931848477","","","","10251","10251","10251"
"1350.666628348","405","405","405","","",""
"1350.931039557","","","","10251","10251","10251"
"1365.666875093","405","405","405","","",""
"1365.932609828","","","","10251","10251","10251"
"1380.666582717","405","405","405","","",""
"1380.931374154","","","","10251","10251","10251"
"1395.666747608","405","405","405","","",""
"1395.931497031","","","","10251","10251","10251"
"1410.667236438","405","405","405","","",""
"1410.931732248","","","","10251","10251","10251"
"1425.667153824","405","405","405","","",""
"1425.931797985","","","","10251","10251","10251"
"1440.666625542","405","405","405","","",""
"1440.931884637","","","","10251","10251","10251"
"1455.666530759","405","405","405","","",""
"1455.932161426","","","","10251","10251","10251"
"1470.665823839","405","405","405","","",""
"1470.932004472","","","","10251","10251","10251"
"1485.667036419","405","405","405","","",""
"1485.93255337","","","","10251","10251","10251"
"1500.66690614","405","405","405","","",""
"1500.931810043","","","","10251","10251","10251"
"1515.66691407","405","405","405","","",""
"1515.93168703","","","","10251","10251","10251"
"1530.666522781","405","405","405","","",""
"1530.932201145","","","","10251","10251","10251"
"1545.668331854","405","405","405","","",""
"1545.931778935","","","","10251","10251","10251"
"1560.667284677","405","405","405","","",""
"1560.931506979","","","","10251","10251","10251"
"1575.666661689","405","405","405","","",""
"1575.931495293","","","","10251","10251","10251"
"1590.666191396","405","405","405","","",""
"1590.931783251","","","","10251","10251","10251"
"1605.667019893","405","405","405","","",""
"1605.9323594","","","","10251","10251","10251"
"1620.667049012","405","405","405","","",""
"1620.931623702","","","","10251","10251","10251"
"1635.667057493","405","405","405","","",""
"1635.931501126","","","","10251","10251","10251"
"1650.666952303","405","405","405","","",""
"1650.931214709","","","","10251","10251","10251"
"1665.665891407","405","405","405","","",""
"1665.931770786","","","","10251","10251","10251"
"1680.667487153","405","405","405","","",""
"1680.931754274","","","","10251","10251","10251"
"1695.666828125","405","405","405","","",""
"1695.932023725","","","","10251","10251","10251"
"1710.666515617","405","405","405","","",""
"1710.93195611","","","","10251","10251","10251"
"1725.6660189","405","405","405","","",""
"1725.931613689","","","","10251","10251","10251"
"1740.668115599","405","405","405","","",""
"1740.931397979","","","","10251","10251","10251"
"1755.666996505","405","405","405","","",""
"1755.931739614","","","","10251","10251","10251"
"1770.666528099","405","405","405","","",""
"1770.932042832","","","","10251","10251","10251"
"1785.66554132","405","405","405","","",""
"1785.931544854","","","","10251","10251","10251"
"1800.667400054","405","405","405","","",""
"1800.932669008","","","","10251","10251","10251"
"1815.666940868","405","405","405","","",""
"1815.931398027","","","","10251","10251","10251"
"1830.666531192","405","405","405","","",""
"1830.93281877","","","","10251","10251","10251"
"1845.665627864","405","405","405","","",""
"1845.932417222","","","","10251","10251","10251"
"1860.667672652","405","405","405","","",""
"1860.931290459","","","","10251","10251","10251"
"1875.666863368","405","405","405","","",""
"1875.932487088","","","","10251","10251","10251"
"1890.666503595","405","405","405","","",""
"1890.932058552","","","","10251","10251","10251"
"1905.666732031","405","405","405","","",""
"1905.931759122","","","","10251","10251","10251"
"1920.666072474","405","405","405","","",""
"1920.932325276","","","","10251","10251","10251"
"1935.666847162","405","405","405","","",""
"1935.932018898","","","","10251","10251","10251"
"1950.666566966","405","405","405","","",""
"1950.931264825","","","","10251","10251","10251"
"1965.666932631","405","405","405","","",""
"1965.932365549","","","","10251","10251","10251"
"1980.666850531","405","405","405","","",""
"1980.931380021","","","","10251","10251","10251"
"1995.6674397","405","405","405","","",""
"1995.932333417","","","","10251","10251","10251"
"2010.666548299","405","405","405","","",""
"2010.931779191","","","","10251","10251","10251"
"2025.665781407","405","405","405","","",""
"2025.931496808","","","","10251","10251","10251"
"2040.666865938","405","405","405","","",""
"2040.931965405","","","","10251","10251","10251"
"2055.667525209","405","405","405","","",""
"2055.931482467","","","","10251","10251","10251"
"2070.667009492","405","405","405","","",""
"2070.931820973","","","","10251","10251","10251"
"2085.667548553","405","405","405","","",""
"2085.931317679","","","","10251","10251","10251"
"2100.666172619","405","405","405","","",""
"2100.931826858","","","","10251","10251","10251"
"2115.667082026","405","405","405","","",""
"2115.932040815","","","","10251","10251","10251"
"2130.667402176","405","405","405","","",""
"2130.932416649","","","","10251","10251","10251"
"2145.666847419","405","405","405","","",""
"2145.931468792","","","","10251","10251","10251"
"2160.667249265","405","405","405","","",""
"2160.933154596","","","","10251","10251","10251"
"2175.666729879","405","405","405","","",""
"2175.931987864","","","","10251","10251","10251"
"2190.666995365","405","405","405","","",""
"2190.932377026","","","","10251","10251","10251"
"2205.666350986","405","405","405","","",""
"2205.932050125","","","","10251","10251","10251"
"2220.667085693","405","405","405","","",""
"2220.93160359","","","","10251","10251","10251"
"2235.666917501","405","405","405","","",""
"2235.931713771","","","","10251","10251","10251"
"2250.667733894","405","405","405","","",""
"2250.931664205","","","","10251","10251","10251"
"2265.667245159","405","405","405","","",""
"2265.931409297","","","","10251","10251","10251"
"2280.667677764","405","405","405","","",""
"2280.931421709","","","","10251","10251","10251"
"2295.666814409","405","405","405","","",""
"2295.932355815","","","","10251","10251","10251"
"2310.667180923","405","405","405","","",""
"2310.931244129","","","","10251","10251","10251"
"2325.666612387","405","405","405","","",""
"2325.932249295","","","","10251","10251","10251"
"2340.667770211","405","405","405","","",""
"2340.931770534","","","","10251","10251","10251"
"2355.667023222","405","405","405","","",""
"2355.932065658","","","","10251","10251","10251"
"2370.666329674","405","405","405","","",""
"2370.931674472","","","","10251","10251","10251"
"2385.666570693","405","405","405","","",""
"2385.931934217","","","","10251","10251","10251"
"2400.667002055","405","405","405","","",""
"2400.932375082","","","","10251","10251","10251"
"2415.666851414","405","405","405","","",""
"2415.931970635","","","","10251","10251","10251"
"2430.666468728","405","405","405","","",""
"2430.931923605","","","","10251","10251","10251"
"2445.667878092","405","405","405","","",""
"2445.931539279","","","","10251","10251","10251"
"2460.666844128","405","405","405","","",""
"2460.930984774","","","","10251","10251","10251"
"2475.667305602","405","405","405","","",""
"2475.931894775","","","","10251","10251","10251"
"2490.666629759","405","405","405","","",""
"2490.931776162","","","","10251","10251","10251"
"2505.667414477","405","405","405","","",""
"2505.932024845","","","","10251","10251","10251"
"2520.666762943","405","405","405","","",""
"2520.932300839","","","","10251","10251","10251"
"2535.667009704","405","405","405","","",""
"2535.931317434","","","","10251","10251","10251"
"2550.668207084","405","405","405","","",""
"2550.932024445","","","","10251","10251","10251"
"2565.668088845","405","405","405","","",""
"2565.932188337","","","","10251","10251","10251"
"2580.666951945","405","405","405","","",""
"2580.931526643","","","","10251","10251","10251"
"2595.66586268","405","405","405","","",""
"2595.93204007","","","","10251","10251","10251"
"2610.666994155","405","405","405","","",""
"2610.932561734","","","","10251","10251","10251"
"2625.667166326","405","405","405","","",""
"2625.931784131","","","","10251","10251","10251"
"2640.666952189","405","405","405","","",""
"2640.931605736","","","","10251","10251","10251"
"2655.665812772","405","405","405","","",""
"2655.931531447","","","","10251","10251","10251"
"2670.66686496","405","405","405","","",""
"2670.931601834","","","","10251","10251","10251"
"2685.666763498","405","405","405","","",""
"2685.931954705","","","","10251","10251","10251"
"2700.66692739","405","405","405","","",""
"2700.931982636","","","","10251","10251","10251"
"2715.667115679","405","405","405","","",""
