"Relative Time (Process)","phase2_upper_half - system/gpu.0.smClock","phase2_upper_half - system/gpu.0.smClock__MIN","phase2_upper_half - system/gpu.0.smClock__MAX","phase1_top3 - system/gpu.0.smClock","phase1_top3 - system/gpu.0.smClock__MIN","phase1_top3 - system/gpu.0.smClock__MAX"
"15.395807511","","","","2640","2640","2640"
"15.472764031","","","","2640","2640","2640"
"15.536025081","","","","2640","2640","2640"
"15.53884216","","","","2640","2640","2640"
"15.55552068","","","","2640","2640","2640"
"15.603765446","","","","2640","2640","2640"
"15.664223071","2640","2640","2640","","",""
"15.673335058","","","","375","375","375"
"15.931510822","","","","2805","2805","2805"
"16.140695464","","","","2640","2640","2640"
"30.397963575","","","","210","210","210"
"30.473307519","","","","210","210","210"
"30.537640529","","","","210","210","210"
"30.539779901","","","","210","210","210"
"30.557292054","","","","210","210","210"
"30.605189853","","","","210","210","210"
"30.667200349","210","210","210","","",""
"30.674007179","","","","210","210","210"
"30.931263295","","","","2790","2790","2790"
"31.142785358","","","","210","210","210"
"45.39826631","","","","210","210","210"
"45.473636232","","","","210","210","210"
"45.537277678","","","","210","210","210"
"45.540204753","","","","210","210","210"
"45.558199601","","","","210","210","210"
"45.605795279","","","","210","210","210"
"45.666530683","210","210","210","","",""
"45.673080995","","","","210","210","210"
"45.931674802","","","","2790","2790","2790"
"46.142130196","","","","210","210","210"
"60.398641748","","","","210","210","210"
"60.472417163","","","","210","210","210"
"60.537627299","","","","210","210","210"
"60.539195988","","","","210","210","210"
"60.605566748","","","","210","210","210"
"60.666813437","210","210","210","","",""
"60.673604506","","","","210","210","210"
"60.9319205","","","","2790","2790","2790"
"61.141604315","","","","210","210","210"
"75.399776485","","","","210","210","210"
"75.474935216","","","","210","210","210"
"75.537113157","","","","210","210","210"
"75.539388205","","","","210","210","210"
"75.606348649","","","","210","210","210"
"75.66720152","210","210","210","","",""
"75.673012128","","","","210","210","210"
"75.931975878","","","","2790","2790","2790"
"90.398540112","","","","210","210","210"
"90.538567636","","","","210","210","210"
"90.540627807","","","","210","210","210"
"90.666500155","210","210","210","","",""
"90.6726414","","","","210","210","210"
"90.931758494","","","","2790","2790","2790"
"105.538810921","","","","210","210","210"
"105.667177003","210","210","210","","",""
"105.673155953","","","","210","210","210"
"105.932182081","","","","2790","2790","2790"
"120.540416303","","","","210","210","210"
"120.666576137","210","210","210","","",""
"120.673086807","","","","210","210","210"
"120.93166741900001","","","","2790","2790","2790"
"135.539971153","","","","210","210","210"
"135.668615389","210","210","210","","",""
"135.672905466","","","","210","210","210"
"135.932165552","","","","2790","2790","2790"
"150.539604989","","","","210","210","210"
"150.667068497","210","210","210","","",""
"150.673653771","","","","210","210","210"
"150.931402309","","","","2790","2790","2790"
"165.539594428","","","","210","210","210"
"165.666381942","210","210","210","","",""
"165.931535406","","","","2790","2790","2790"
"180.540235435","","","","210","210","210"
"180.66650134100001","210","210","210","","",""
"180.931258321","","","","2790","2790","2790"
"195.667451386","210","210","210","","",""
"195.932378104","","","","2790","2790","2790"
"210.667608751","210","210","210","","",""
"210.931262091","","","","2790","2790","2790"
"225.666543395","210","210","210","","",""
